geom,Latitude,Longitude,Source,Year,Capacity,depth
POINT (2.84491958904232 51.624248000488),51.624248,2.84492,DOWT,,,-30.0
POINT (2.71116044323692 51.7204575674172),51.720458,2.71116,DOWT,,,-33.0
POINT (2.71358589450405 51.7280932473323),51.728093,2.713586,DOWT,,,-31.0
POINT (2.75814233259637 51.723242344798),51.723242,2.758142,DOWT,,,-31.0
POINT (2.74862019058471 51.7298000463721),51.7298,2.74862,DOWT,,,-31.0
POINT (2.73837939634574 51.7216253772866),51.721625,2.738379,DOWT,,,-30.0
POINT (2.73900821704463 51.7358187587757),51.735819,2.739008,DOWT,,,-31.0
POINT (2.76011862622144 51.7357289272473),51.735729,2.760119,DOWT,,,-30.0
POINT (2.72921658044772 51.726296616764),51.726297,2.729217,DOWT,,,-31.0
POINT (2.7470930546017 51.7165948116955),51.716595,2.747093,DOWT,,,-33.0
POINT (2.76694582238074 51.7318661715256),51.731866,2.766946,DOWT,,,-30.0
POINT (2.78104937234142 51.7231525132696),51.723153,2.781049,DOWT,,,-29.0
POINT (2.78042055164254 51.715606664883),51.715607,2.780421,DOWT,,,-30.0
POINT (2.7230182049873 51.7187507683774),51.718751,2.723018,DOWT,,,-33.0
POINT (2.71017229642439 51.701862441036),51.701862,2.710172,DOWT,,,-29.0
POINT (2.7140350521461 51.6975505276722),51.697551,2.714035,DOWT,,,-29.0
POINT (2.70630954070268 51.7060845228713),51.706085,2.70631,DOWT,,,-30.0
POINT (2.71915544926558 51.7098574470646),51.709857,2.719155,DOWT,,,-29.0
POINT (2.71798763939623 51.6934182773652),51.693418,2.717988,DOWT,,,-28.0
POINT (2.75023715809612 51.7090489633089),51.709049,2.750237,DOWT,,,-31.0
POINT (2.74071501608445 51.7044675553599),51.704468,2.740715,DOWT,,,-31.0
POINT (2.73173186324326 51.711474414576),51.711474,2.731732,DOWT,,,-30.0
POINT (2.72876742280567 51.6988980005984),51.698898,2.728767,DOWT,,,-29.0
POINT (2.72427584638507 51.7044675553599),51.704468,2.724276,DOWT,,,-28.0
POINT (2.70891465502662 51.7136303712579),51.71363,2.708915,DOWT,,,-31.0
POINT (2.76416104499997 51.7130913820875),51.713091,2.764161,DOWT,,,-31.0
POINT (2.7214910690043 51.7324949922244),51.732495,2.721491,DOWT,,,-32.0
POINT (2.75365075617577 51.7386933676849),51.738693,2.753651,DOWT,,,-30.0
POINT (2.77404251312529 51.7276440896902),51.727644,2.774043,DOWT,,,-29.0
POINT (2.72346736262936 51.7121032352749),51.712103,2.723467,DOWT,,,-29.0
POINT (2.90834064810116 51.5574133433496),51.557413,2.908341,DOWT,,,-20.0
POINT (2.89270996215748 51.5502268210766),51.550227,2.89271,DOWT,,,-20.0
POINT (2.88507428224246 51.5467233914685),51.546723,2.885074,DOWT,,,-20.0
POINT (2.89226080451542 51.5425013096332),51.542501,2.892261,DOWT,,,-20.0
POINT (2.90097446277138 51.5458250761844),51.545825,2.900974,DOWT,,,-19.0
POINT (2.89935749525996 51.538099564741),51.5381,2.899357,DOWT,,,-19.0
POINT (2.90654401753292 51.5337876513772),51.533788,2.906544,DOWT,,,-19.0
POINT (2.93439179134062 51.5375605755705),51.537561,2.934392,DOWT,,,-19.0
POINT (2.9319663400735 51.528936748843),51.528937,2.931966,DOWT,,,-21.0
POINT (2.92424082863007 51.5331588306783),51.533159,2.924241,DOWT,,,-19.0
POINT (2.91651531718664 51.5373809125137),51.537381,2.916515,DOWT,,,-19.0
POINT (2.92954088880638 51.5482505274515),51.548251,2.929541,DOWT,,,-21.0
POINT (2.93969185151693 51.524804498536),51.524804,2.939692,DOWT,,,-24.0
POINT (2.9237018394596 51.5507658102471),51.550766,2.923702,DOWT,,,-20.0
POINT (2.93537993815315 51.5454657500708),51.545466,2.93538,DOWT,,,-20.0
POINT (2.94229696584088 51.5336079883204),51.533608,2.942297,DOWT,,,-20.0
POINT (2.9281934158802 51.5209417428143),51.520942,2.928193,DOWT,,,-21.0
POINT (2.91382037133429 51.5295655695418),51.529566,2.91382,DOWT,,,-18.0
POINT (2.94130881902834 51.5427708042184),51.542771,2.941309,DOWT,,,-20.0
POINT (2.95029197186954 51.5296554010703),51.529655,2.950292,DOWT,,,-23.0
POINT (2.92100689360724 51.5252536561781),51.525254,2.921007,DOWT,,,-19.0
POINT (2.94714786837512 51.5401656898945),51.540166,2.947148,DOWT,,,-20.0
POINT (2.92630695378355 51.5415131628206),51.541513,2.926307,DOWT,,,-19.0
POINT (2.9184017792833 51.5453759185423),51.545376,2.918402,DOWT,,,-20.0
POINT (2.9529869177219 51.5375605755705),51.537561,2.952987,DOWT,,,-21.0
POINT (2.96044293458009 51.5342368090193),51.534237,2.960443,DOWT,,,-23.0
POINT (2.91031694172622 51.5493285057925),51.549329,2.910317,DOWT,,,-19.0
POINT (2.90878980574322 51.541602994349),51.541603,2.90879,DOWT,,,-19.0
POINT (2.90070496818614 51.5539099137415),51.55391,2.900705,DOWT,,,-20.0
POINT (2.91561700190252 51.5541794083267),51.554179,2.915617,DOWT,,,-20.0
POINT (2.95550220051743 51.5327995045647),51.5328,2.955502,DOWT,,,-23.0
POINT (2.97921772401819 51.5745711652762),51.574571,2.979218,DOWT,,,-22.0
POINT (2.97023457117699 51.5696304312136),51.56963,2.970235,DOWT,,,-22.0
POINT (2.99673487205852 51.5748406598615),51.574841,2.996735,DOWT,,,-20.0
POINT (2.97041423423382 51.559479468503),51.559479,2.970414,DOWT,,,-20.0
POINT (2.98766188768891 51.5698999257988),51.5699,2.987662,DOWT,,,-20.0
POINT (2.9785889033193 51.5649591917362),51.564959,2.978589,DOWT,,,-20.0
POINT (2.96214973361992 51.5641507079804),51.564151,2.96215,DOWT,,,-22.0
POINT (2.99017717048444 51.5784339209979),51.578434,2.990177,DOWT,,,-22.0
POINT (2.98703306699003 51.5601981207303),51.560198,2.987033,DOWT,,,-20.0
POINT (2.99610605135963 51.565138854793),51.565139,2.996106,DOWT,,,-20.0
POINT (2.95981411388121 51.5554370497245),51.555437,2.959814,DOWT,,,-20.0
POINT (2.99538739913234 51.5555268812529),51.555527,2.995387,DOWT,,,-22.0
POINT (2.97867873484772 51.554898060554),51.554898,2.978679,DOWT,,,-20.0
POINT (3.01622831372391 51.5639710449236),51.563971,3.016228,DOWT,,,-22.0
POINT (3.01002993826349 51.5774457741854),51.577446,3.01003,DOWT,,,-21.0
POINT (3.00967061214984 51.5675643060601),51.567564,3.009671,DOWT,,,-20.0
POINT (3.00320274210418 51.571247398725),51.571247,3.003203,DOWT,,,-20.0
POINT (3.00455021503036 51.5603777837871),51.560378,3.00455,DOWT,,,-22.0
POINT (3.00356206821783 51.5809492037935),51.580949,3.003562,DOWT,,,-23.0
POINT (2.95361573842078 51.559030310861),51.55903,2.953616,DOWT,,,-22.0
POINT (2.9868534039332 51.5502268210766),51.550227,2.986853,DOWT,,,-22.0
POINT (2.97849907179089 51.5447470978435),51.544747,2.978499,DOWT,,,-23.0
POINT (2.97230069633047 51.5483403589799),51.54834,2.972301,DOWT,,,-21.0
POINT (2.96601248934163 51.551843788588),51.551844,2.966012,DOWT,,,-20.0
POINT (2.92693577448243 51.6299972183064),51.629997,2.926936,DOWT,,,-19.0
POINT (2.92235436653342 51.6326023326304),51.632602,2.922354,DOWT,,,-19.0
POINT (2.91867127386853 51.6288294084371),51.628829,2.918671,DOWT,,,-18.0
POINT (2.9312476878462 51.6273921039825),51.627392,2.931248,DOWT,,,-18.0
POINT (2.92307301876072 51.6262242941131),51.626224,2.923073,DOWT,,,-18.0
POINT (2.93915286234646 51.6285599138518),51.62856,2.939153,DOWT,,,-19.0
POINT (2.93034937256208 51.6337701424997),51.63377,2.930349,DOWT,,,-20.0
POINT (2.94346477571023 51.6259547995279),51.625955,2.943465,DOWT,,,-20.0
POINT (2.93475111745427 51.6312548597042),51.631255,2.934751,DOWT,,,-19.0
POINT (2.91489834967523 51.6249666527153),51.624967,2.914898,DOWT,,,-18.0
POINT (2.93555960120998 51.6247869896585),51.624787,2.93556,DOWT,,,-18.0
POINT (2.89621339176554 51.6110427658115),51.611043,2.896213,DOWT,,,-17.0
POINT (2.88974552171988 51.6080783253739),51.608078,2.889746,DOWT,,,-17.0
POINT (2.88148102110598 51.6068206839761),51.606821,2.881481,DOWT,,,-17.0
POINT (2.88794889115164 51.6041257381238),51.604126,2.887949,DOWT,,,-19.0
POINT (2.89190147840177 51.6137377116638),51.613738,2.891901,DOWT,,,-17.0
POINT (2.87618096092968 51.5977476996065),51.597748,2.876181,DOWT,,,-20.0
POINT (2.90366940862374 51.6188581087833),51.618858,2.903669,DOWT,,,-17.0
POINT (2.87698944468538 51.6094257983001),51.609426,2.876989,DOWT,,,-19.0
POINT (2.89998631595885 51.6149055215332),51.614906,2.899986,DOWT,,,-17.0
POINT (2.88318782014581 51.6006223085157),51.600622,2.883188,DOWT,,,-18.0
POINT (2.88516411377087 51.6108631027547),51.610863,2.885164,DOWT,,,-17.0
POINT (2.89594389718031 51.6056528741068),51.605653,2.895944,DOWT,,,-18.0
POINT (2.86854528101466 51.6017901183851),51.60179,2.868545,DOWT,,,-18.0
POINT (2.87725893927062 51.6027782651976),51.602778,2.877259,DOWT,,,-17.0
POINT (2.89558457106666 51.6175106358571),51.617511,2.895585,DOWT,,,-18.0
POINT (2.87204871062273 51.6058325371636),51.605833,2.872049,DOWT,,,-19.0
POINT (2.90438806085103 51.6123004072093),51.6123,2.904388,DOWT,,,-17.0
POINT (2.90286092486803 51.6084376514875),51.608438,2.902861,DOWT,,,-17.0
POINT (2.9237018394596 51.619666592539),51.619667,2.923702,DOWT,,,-18.0
POINT (2.9109457624251 51.6096952928853),51.609695,2.910946,DOWT,,,-17.0
POINT (2.92909173116432 51.6175106358571),51.617511,2.929092,DOWT,,,-18.0
POINT (2.91480851814682 51.6134682170786),51.613468,2.914809,DOWT,,,-17.0
POINT (2.92280352417548 51.6144563638911),51.614456,2.922804,DOWT,,,-18.0
POINT (2.91624582260141 51.6173309728003),51.617331,2.916246,DOWT,,,-17.0
POINT (2.91184407770922 51.6199360871243),51.619936,2.911844,DOWT,,,-17.0
POINT (2.90807115351592 51.616163162931),51.616163,2.908071,DOWT,,,-17.0
POINT (2.89926766373155 51.6214632231073),51.621463,2.899268,DOWT,,,-19.0
POINT (2.93493078051109 51.6210140654652),51.621014,2.934931,DOWT,,,-18.0
POINT (2.9274747636529 51.6235293482607),51.623529,2.927475,DOWT,,,-18.0
POINT (2.91938992609583 51.6223615383914),51.622362,2.91939,DOWT,,,-18.0
POINT (2.90744233281704 51.6226310329766),51.622631,2.907442,DOWT,,,-18.0
POINT (2.91822211622647 51.6197564240674),51.619756,2.918222,DOWT,,,-17.0
POINT (2.79874618343857 51.6856029343934),51.685603,2.798746,DOWT,,,-26.0
POINT (2.79200881880768 51.6742841618135),51.674284,2.792009,DOWT,,,-26.0
POINT (2.80898697767754 51.7027607563201),51.702761,2.808987,DOWT,,,-25.0
POINT (2.80036315094999 51.6773384337795),51.677338,2.800363,DOWT,,,-26.0
POINT (2.80215978151823 51.6914419837402),51.691442,2.80216,DOWT,,,-25.0
